% Model:              Roman - nanowires vs lenght LT.mph
% Version:            COMSOL 5.1.0.234
% Date:               Aug 1 2017, 15:42
% Table:              Accumulated Probe Table 5 - 
% rh                     t                        k1                       Temperature (K), Point: (-5, 5, 207.5)
60                       -1.0000000000000002E-6   0.01                     3.9999999999999996
60                       -9.000000000000002E-7    0.01                     4.000000000000001
60                       -8.000000000000002E-7    0.01                     4.000000000000001
60                       -7.000000000000001E-7    0.01                     3.9999999999999996
60                       -6.000000000000002E-7    0.01                     3.9999999999999996
60                       -5.000000000000001E-7    0.01                     3.9999999999999996
60                       -4.000000000000001E-7    0.01                     4.000000000000001
60                       -3.000000000000001E-7    0.01                     3.9999999999999996
60                       -2.000000000000001E-7    0.01                     3.9999999999999996
60                       -1.000000000000001E-7    0.01                     4.000000000000001
60                       0                        0.01                     3.9999999999999996
60                       9.999999999999989E-8     0.01                     5.685039048792815
60                       2.0E-7                   0.01                     7.256584635094797
60                       2.999999999999999E-7     0.01                     8.746159565556605
60                       4.0E-7                   0.01                     10.17005519377161
60                       4.999999999999999E-7     0.01                     11.533503063621817
60                       6.0E-7                   0.01                     12.828832205871384
60                       7.000000000000001E-7     0.01                     14.055534796538126
60                       8.0E-7                   0.01                     15.216641974681936
60                       9.000000000000001E-7     0.01                     16.315237412431745
60                       1.0000000000000002E-6    0.01                     17.355044280811324
60                       1.1E-6                   0.01                     17.232120870019262
60                       1.2E-6                   0.01                     16.67170159793537
60                       1.2999999999999998E-6    0.01                     16.083304558700377
60                       1.4000000000000001E-6    0.01                     15.4491545984228
60                       1.5E-6                   0.01                     14.847095626357506
60                       1.6E-6                   0.01                     14.275272063824977
60                       1.7000000000000002E-6    0.01                     13.734941275291963
60                       1.8000000000000001E-6    0.01                     13.223027496568525
60                       1.9E-6                   0.01                     12.73681921833842
60                       2.0E-6                   0.01                     12.276181795326252
60                       2.1000000000000002E-6    0.01                     11.832989841586492
60                       2.2E-6                   0.01                     11.410996641661878
60                       2.3E-6                   0.01                     11.011043333704011
60                       2.4000000000000003E-6    0.01                     10.632237586381404
60                       2.5E-6                   0.01                     10.273752218430115
60                       2.6E-6                   0.01                     9.934703526476694
60                       2.7E-6                   0.01                     9.613832753921754
60                       2.8000000000000003E-6    0.01                     9.310303315512249
60                       2.8999999999999998E-6    0.01                     9.023292252363042
60                       3.0000000000000005E-6    0.01                     8.751833439357519
60                       3.1000000000000004E-6    0.01                     8.495057000630263
60                       3.2000000000000003E-6    0.01                     8.25203455961951
60                       3.3E-6                   0.01                     8.022139652972253
60                       3.4E-6                   0.01                     7.804655896382245
60                       3.5E-6                   0.01                     7.599161663374862
60                       3.6E-6                   0.01                     7.404784870076878
60                       3.7000000000000006E-6    0.01                     7.221018479478189
60                       3.8000000000000005E-6    0.01                     7.047137020803603
60                       3.9E-6                   0.01                     6.882686703890575
60                       4.000000000000001E-6     0.01                     6.727074240341255
60                       4.1E-6                   0.01                     6.579886514998096
60                       4.2000000000000004E-6    0.01                     6.440617770535039
60                       4.2999999999999995E-6    0.01                     6.308884566429978
60                       4.4E-6                   0.01                     6.184246145760815
60                       4.500000000000001E-6     0.01                     6.066348321605624
60                       4.6E-6                   0.01                     5.954804194536511
60                       4.700000000000001E-6     0.01                     5.849289684155098
60                       4.8E-6                   0.01                     5.749463873859065
60                       4.9000000000000005E-6    0.01                     5.655032225852731
60                       4.9999999999999996E-6    0.01                     5.565693301491107
60                       5.1E-6                   0.01                     5.481180550253628
60                       5.200000000000001E-6     0.01                     5.4012266418263035
60                       5.3E-6                   0.01                     5.325591054422448
60                       5.400000000000001E-6     0.01                     5.254036156758014
60                       5.5E-6                   0.01                     5.186345376168067
60                       5.600000000000001E-6     0.01                     5.122307116435047
60                       5.7E-6                   0.01                     5.061726678179085
60                       5.8E-6                   0.01                     5.004415405983042
60                       5.900000000000001E-6     0.01                     4.950198469758844
60                       6.0E-6                   0.01                     4.898907506265521
60                       6.100000000000001E-6     0.01                     4.850385662809533
60                       6.2E-6                   0.01                     4.804482577749949
60                       6.300000000000001E-6     0.01                     4.7610576171320815
60                       6.4E-6                   0.01                     4.719976424130675
60                       6.5000000000000004E-6    0.01                     4.681112966135603
60                       6.600000000000001E-6     0.01                     4.64434713953323
60                       6.7E-6                   0.01                     4.6095660366710725
60                       6.799999999999999E-6     0.01                     4.576662263112692
60                       6.9E-6                   0.01                     4.545534695644746
60                       7.000000000000001E-6     0.01                     4.51608728284396
60                       7.1E-6                   0.01                     4.488229473447413
60                       7.2000000000000005E-6    0.01                     4.461875346815131
60                       7.2999999999999996E-6    0.01                     4.436943830005852
60                       7.4E-6                   0.01                     4.413358055206539
60                       7.499999999999999E-6     0.01                     4.391045443392292
60                       7.6E-6                   0.01                     4.369937219466471
60                       7.7E-6                   0.01                     4.349968413557912
60                       7.8E-6                   0.01                     4.331077487098646
60                       7.9E-6                   0.01                     4.313206285046157
60                       8.0E-6                   0.01                     4.296299741151765
60                       8.1E-6                   0.01                     4.280305802649894
60                       8.2E-6                   0.01                     4.2651751930352
60                       8.3E-6                   0.01                     4.250861323010858
60                       8.400000000000001E-6     0.01                     4.237320095842524
60                       8.5E-6                   0.01                     4.224509813258983
60                       8.6E-6                   0.01                     4.21239101299906
60                       8.7E-6                   0.01                     4.200926375017611
60                       8.8E-6                   0.01                     4.190080583909045
60                       8.9E-6                   0.01                     4.179820238593623
60                       9.0E-6                   0.01                     4.1701137343902115
60                       9.100000000000001E-6     0.01                     4.160931177951759
60                       9.2E-6                   0.01                     4.152244285181213
60                       9.3E-6                   0.01                     4.144026302282723
60                       9.4E-6                   0.01                     4.136251916701106
60                       9.5E-6                   0.01                     4.128897184591936
60                       9.6E-6                   0.01                     4.121939452644564
60                       9.7E-6                   0.01                     4.115357291922599
60                       9.800000000000001E-6     0.01                     4.109130428917222
60                       9.9E-6                   0.01                     4.103239685509203
60                       1.0E-5                   0.01                     4.09766691794027
60                       -1.0000000000000002E-6   0.011                    3.9999999999999996
60                       -9.000000000000002E-7    0.011                    4.000000000000001
60                       -8.000000000000002E-7    0.011                    4.000000000000001
60                       -7.000000000000001E-7    0.011                    3.9999999999999996
60                       -6.000000000000002E-7    0.011                    3.9999999999999996
60                       -5.000000000000001E-7    0.011                    3.9999999999999996
60                       -4.000000000000001E-7    0.011                    3.9999999999999996
60                       -3.000000000000001E-7    0.011                    3.9999999999999987
60                       -2.000000000000001E-7    0.011                    3.9999999999999996
60                       -1.000000000000001E-7    0.011                    3.9999999999999996
60                       0                        0.011                    3.9999999999999996
60                       9.999999999999989E-8     0.011                    5.679025306421077
60                       2.0E-7                   0.011                    7.2353726979230855
60                       2.999999999999999E-7     0.011                    8.703584085458779
60                       4.0E-7                   0.011                    10.101421254527114
60                       4.999999999999999E-7     0.011                    11.434816521665416
60                       6.0E-7                   0.011                    12.695769020511058
60                       7.000000000000001E-7     0.011                    13.884109647408572
60                       8.0E-7                   0.011                    15.003283953151582
60                       9.000000000000001E-7     0.011                    16.056884674532963
60                       1.0000000000000002E-6    0.011                    17.049179805115166
60                       1.1E-6                   0.011                    16.87994165396761
60                       1.2E-6                   0.011                    16.2762612516176
60                       1.2999999999999998E-6    0.011                    15.651581230126583
60                       1.4000000000000001E-6    0.011                    14.987619128171318
60                       1.5E-6                   0.011                    14.360426494951762
60                       1.6E-6                   0.011                    13.76744651869336
60                       1.7000000000000002E-6    0.011                    13.209902463297206
60                       1.8000000000000001E-6    0.011                    12.68418774609841
60                       1.9E-6                   0.011                    12.187147146421777
60                       2.0E-6                   0.011                    11.718488863520232
60                       2.1000000000000002E-6    0.011                    11.26911674131365
60                       2.2E-6                   0.011                    10.843112347723512
60                       2.3E-6                   0.011                    10.441289703058485
60                       2.4000000000000003E-6    0.011                    10.062721287000963
60                       2.5E-6                   0.011                    9.706290703735778
60                       2.6E-6                   0.011                    9.370591267780515
60                       2.7E-6                   0.011                    9.054600472974872
60                       2.8000000000000003E-6    0.011                    8.757320065856598
60                       2.8999999999999998E-6    0.011                    8.47756858563226
60                       3.0000000000000005E-6    0.011                    8.214282077078229
60                       3.1000000000000004E-6    0.011                    7.966481609259034
60                       3.2000000000000003E-6    0.011                    7.733111620219852
60                       3.3E-6                   0.011                    7.51345729924323
60                       3.4E-6                   0.011                    7.306705710164722
60                       3.5E-6                   0.011                    7.112379238328562
60                       3.6E-6                   0.011                    6.929494824008523
60                       3.7000000000000006E-6    0.011                    6.7574832422697035
60                       3.8000000000000005E-6    0.011                    6.595535113901425
